id,datetime,ec,water_flow,ground_temperature,ground_humidity,air_temperature,air_humidity,acquisition_point
10665,2021-02-13 10:06:38.518195,9.77517106549365,0.311143695014663,-54.8240469208211,0,-40,0,A01
10666,2021-02-13 10:06:40.51736,19.5503421309873,0.311143695014663,-54.6480938416422,0,-40,0,A01
10667,2021-02-13 10:06:42.519441,9.77517106549365,0.311143695014663,-54.8240469208211,0,-40,0,A01
10668,2021-02-13 10:06:44.522679,9.77517106549365,0.311143695014663,-54.6480938416422,0,-40,0,A01
10669,2021-02-13 10:06:46.525111,9.77517106549365,0.305571847507331,-54.8240469208211,0,-40,0,A01
10670,2021-02-13 10:06:48.528524,9.77517106549365,0.311143695014663,-54.8240469208211,0,-40,0,A01
10671,2021-02-13 10:06:50.526882,19.5503421309873,0.305571847507331,-54.6480938416422,99.6089931573803,79.5307917888563,99.7067448680352,A01
10672,2021-02-13 10:06:52.529681,10000,6,125,99.7067448680352,79.5307917888563,99.6089931573803,A01
10673,2021-02-13 10:06:54.533065,10000,6,125,99.6089931573803,79.5307917888563,99.7067448680352,A01
10674,2021-02-13 10:06:56.536165,10000,6,125,99.6089931573803,79.5307917888563,99.7067448680352,A01
10675,2021-02-13 10:06:58.538454,10000,6,125,99.7067448680352,79.5307917888563,99.7067448680352,A01
10676,2021-02-13 10:07:00.540935,10000,6,125,99.6089931573803,79.6480938416422,99.6089931573803,A01
10677,2021-02-13 10:07:02.53996,10000,6,125,99.6089931573803,79.6480938416422,99.6089931573803,A01
10678,2021-02-13 10:07:04.543109,9990.22482893451,6,124.824046920821,99.7067448680352,79.5307917888563,99.7067448680352,A01
10679,2021-02-13 10:07:06.545391,10000,6,125,99.6089931573803,79.6480938416422,99.6089931573803,A01
10680,2021-02-13 10:07:08.548883,9990.22482893451,6,125,99.6089931573803,79.6480938416422,99.6089931573803,A01
10681,2021-02-13 10:07:10.551277,10000,5.99442815249267,125,99.6089931573803,79.6480938416422,99.6089931573803,A01
10682,2021-02-13 10:07:12.55,10000,6,125,99.7067448680352,79.5307917888563,99.7067448680352,A01
10683,2021-02-13 10:07:14.552679,10000,6,125,99.7067448680352,79.5307917888563,99.7067448680352,A01
10684,2021-02-13 10:07:16.555913,10000,6,125,99.6089931573803,79.6480938416422,99.6089931573803,A01
10685,2021-02-13 10:07:18.558283,8944.28152492669,5.39266862170088,105.821114369501,69.6969696969697,43.6363636363636,69.6969696969697,A01
10686,2021-02-13 10:07:20.561595,7018.57282502444,4.2950146627566,71.3343108504399,68.7194525904203,42.4633431085044,68.7194525904203,A01
10687,2021-02-13 10:07:22.560305,7008.79765395894,4.30058651026393,71.3343108504399,68.7194525904203,42.5806451612903,68.7194525904203,A01
10688,2021-02-13 10:07:24.563407,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.4633431085044,68.7194525904203,A01
10689,2021-02-13 10:07:26.566329,7018.57282502444,4.30058651026393,71.3343108504399,68.8172043010753,42.5806451612903,68.7194525904203,A01
10690,2021-02-13 10:07:28.568426,7018.57282502444,4.2950146627566,71.3343108504399,68.7194525904203,42.4633431085044,68.7194525904203,A01
10691,2021-02-13 10:07:30.57142,7018.57282502444,4.30058651026393,71.3343108504399,68.8172043010753,42.4633431085044,68.7194525904203,A01
10692,2021-02-13 10:07:32.574614,7008.79765395894,4.30058651026393,71.3343108504399,68.7194525904203,42.5806451612903,68.7194525904203,A01
10693,2021-02-13 10:07:34.577719,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.4633431085044,68.7194525904203,A01
10694,2021-02-13 10:07:36.576623,7018.57282502444,4.30058651026393,71.3343108504399,68.8172043010753,42.4633431085044,68.8172043010753,A01
10695,2021-02-13 10:07:38.578665,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.5806451612903,68.7194525904203,A01
10696,2021-02-13 10:07:40.581594,7008.79765395894,4.30058651026393,71.3343108504399,68.7194525904203,42.5806451612903,68.7194525904203,A01
10697,2021-02-13 10:07:42.584515,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.4633431085044,68.8172043010753,A01
10698,2021-02-13 10:07:44.587306,7018.57282502444,4.2950146627566,71.3343108504399,68.7194525904203,42.4633431085044,68.8172043010753,A01
10699,2021-02-13 10:07:46.586228,7018.57282502444,4.30058651026393,71.3343108504399,68.6217008797654,42.4633431085044,68.7194525904203,A01
10700,2021-02-13 10:07:48.589059,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.5806451612903,68.8172043010753,A01
10701,2021-02-13 10:07:50.591479,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.4633431085044,68.8172043010753,A01
10702,2021-02-13 10:07:52.594459,7008.79765395894,4.30058651026393,71.3343108504399,68.8172043010753,42.4633431085044,68.7194525904203,A01
10703,2021-02-13 10:07:54.597984,7018.57282502444,4.2950146627566,71.3343108504399,68.8172043010753,42.5806451612903,68.7194525904203,A01
10704,2021-02-13 10:07:56.600072,7018.57282502444,4.30058651026393,71.3343108504399,68.7194525904203,42.4633431085044,68.7194525904203,A01
